"2024-10-24 09:20:35am",SYSADMIN,"Opened a drawer"
"2024-10-24 09:20:45am",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 09:20:59am",SYSADMIN,"Added a customer to transaction"
"2024-10-24 09:53:20am",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 09:54:31am",SYSADMIN,"Added global discount to transaction"
"2024-10-24 09:55:30am",SYSADMIN,"Completed the tranasction",,72
"2024-10-24 09:55:40am",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 11:45:26am",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 11:45:39am",SYSADMIN,"Added global discount to transaction"
"2024-10-24 11:46:07am",SYSADMIN,"Completed the tranasction",,73
"2024-10-24 11:46:13am",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 12:13:39pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 13:42:16pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 13:43:24pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 13:43:43pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 14:20:49pm",SYSADMIN,"Completed the tranasction",,74
"2024-10-24 14:21:25pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 14:21:47pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 14:22:06pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 14:22:29pm",SYSADMIN,"Completed the tranasction",,75
"2024-10-24 14:22:50pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 14:33:00pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 14:33:22pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 14:33:33pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 14:33:40pm",SYSADMIN,"Completed the tranasction",,76
"2024-10-24 14:34:46pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 14:35:02pm",SYSADMIN,"Added global discount to transaction"
"2024-10-24 14:35:11pm",SYSADMIN,"Completed the tranasction",,77
"2024-10-24 15:44:15pm",SYSADMIN,"Created new transaction",REGULAR
"2024-10-24 15:44:34pm",SYSADMIN,"Created new transaction",REGULAR
