"2025-05-08 19:36:36pm",SYSADMIN,"Opened a drawer"
"2025-05-08 19:36:44pm",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 19:37:09pm",SYSADMIN,"Added global discount to transaction"
"2025-05-08 19:37:24pm",SYSADMIN,"Completed the tranasction",,4
"2025-05-08 19:37:33pm",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 19:38:02pm",SYSADMIN,"Closed a drawer"
"2025-05-08 19:38:04pm",SYSADMIN,"Closed a drawer"
"2025-05-08 23:27:44pm",SYSADMIN,"Closed a drawer"
"2025-05-08 23:27:45pm",SYSADMIN,"Closed a drawer"
"2025-05-08 08:33:56am",SYSADMIN,"Opened a drawer"
"2025-05-08 08:51:12am",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 08:53:19am",SYSADMIN,"Added global discount to transaction"
"2025-05-08 08:53:37am",SYSADMIN,"Completed the tranasction",,78
"2025-05-08 08:53:44am",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 08:55:14am",SYSADMIN,"Completed the tranasction",,79
"2025-05-08 08:55:21am",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 08:58:37am",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 08:59:16am",SYSADMIN,"Completed the tranasction",,80
"2025-05-08 08:59:23am",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 09:02:29am",SYSADMIN,"Closed a drawer"
"2025-05-08 09:02:31am",SYSADMIN,"Closed a drawer"
"2025-05-08 09:17:57am",SYSADMIN,"Closed a drawer"
"2025-05-08 09:17:59am",SYSADMIN,"Closed a drawer"
"2025-05-08 10:04:48am",SYSADMIN,"Closed a drawer"
"2025-05-08 10:04:49am",SYSADMIN,"Closed a drawer"
"2025-05-08 10:40:51am",SYSADMIN,"Closed a drawer"
"2025-05-08 10:40:52am",SYSADMIN,"Closed a drawer"
"2025-05-08 10:41:57am",SYSADMIN,"Closed a drawer"
"2025-05-08 10:41:59am",SYSADMIN,"Closed a drawer"
"2025-05-08 11:03:03am",SYSADMIN,"Opened a drawer"
"2025-05-08 11:04:57am",SYSADMIN,"Closed a drawer"
"2025-05-08 11:04:58am",SYSADMIN,"Closed a drawer"
"2025-05-08 11:06:10am",SYSADMIN,"Closed a drawer"
"2025-05-08 11:06:11am",SYSADMIN,"Closed a drawer"
"2025-05-08 06:28:53am",SYSADMIN,"Completed the tranasction",,83
"2025-05-08 06:29:01am",SYSADMIN,"Created new transaction",REGULAR
"2025-05-08 06:29:30am",SYSADMIN,"Closed a drawer"
"2025-05-08 06:29:31am",SYSADMIN,"Closed a drawer"
"2025-05-08 06:29:32am",SYSADMIN,"Closed a drawer"
