"2025-04-02 15:09:43pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:09:51pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:10:03pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:10:13pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:10:22pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:13:08pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:13:43pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:16:10pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-02 15:20:11pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:20:29pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:20:45pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:21:04pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 15:21:12pm",SYSADMIN,"Added global discount to transaction"
"2025-04-02 15:21:28pm",SYSADMIN,"Completed the tranasction",,8
"2025-04-02 16:11:47pm",SYSADMIN,"Created new transaction",REGULAR
"2025-04-02 16:14:23pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 16:14:32pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 16:14:43pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 16:14:52pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 16:15:00pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 16:15:11pm",SYSADMIN,"Added item discount to transaction"
"2025-04-02 16:15:48pm",SYSADMIN,"Added global discount to transaction"
"2025-04-02 16:16:07pm",SYSADMIN,"Completed the tranasction",,9
